# This file is generated; do not edit manually.
# cache: cb77808 Cache version 2026-08-19-rev240
id,ambient,contrast,render_priority
1222,0,0,1
1259,0,0,1
1270,0,0,1
1271,0,0,1
1272,0,0,1
1273,0,0,1
1277,0,0,1
1280,0,0,1
1282,0,0,1
1284,0,0,1
1286,0,0,1
1287,0,0,1
1288,0,0,1
1289,0,0,1
1290,0,0,1
1305,0,0,1
1306,0,0,1
1307,0,0,1
1321,0,0,1
1322,0,0,1
1323,10,50,1
1324,0,0,1
1325,0,0,1
1326,0,0,1
1327,0,0,1
1329,0,0,1
1330,0,0,1
1331,0,0,1
1332,0,0,1
1333,0,0,1
1334,0,0,1
1338,20,0,0
1339,20,0,0
1340,0,0,1
1341,0,0,1
1350,0,0,1
1365,25,0,0
1373,0,0,1
1389,50,250,1
1390,0,0,1
1391,10,0,1
1392,10,0,1
1393,10,0,1
1394,0,0,1
1397,0,0,1
1422,0,0,1
1423,0,0,1
1427,0,0,1
1449,0,0,1
1455,0,0,1
1475,0,0,1
1483,0,0,1
1484,0,0,1
1485,0,0,1
1486,0,0,1
1487,0,0,1
1488,0,0,1
1489,0,0,1
1490,0,0,1
1491,0,0,1
1492,0,0,1
1493,0,0,1
1494,0,0,1
1495,0,0,1
1496,15,0,0
1501,0,0,1
1502,0,0,1
1503,10,50,1
1504,10,50,1
1505,12,60,0
1554,0,0,1
1560,0,0,1
1561,0,0,1
1570,-25,0,0
1571,-25,0,0
1572,-25,0,0
1579,0,0,1
1614,0,0,1
1615,0,0,1
1616,0,0,1
1617,0,0,1
1625,40,0,0
1632,40,0,0
1635,0,0,1
1636,0,0,1
1637,0,0,1
1638,0,0,1
1639,0,0,1
1640,0,0,1
1641,0,0,1
1642,0,0,1
1643,0,0,1
1644,0,0,1
1645,0,0,1
1646,0,0,1
1647,0,0,1
1648,0,0,1
1649,0,0,1
1650,0,0,1
1651,0,0,1
1652,0,0,1
1653,0,0,1
1654,0,0,1
1655,0,0,1
1656,0,0,1
1657,0,0,1
1662,0,0,1
1663,0,0,1
1664,0,0,1
1665,0,0,1
1672,50,250,1
1673,50,250,1
1674,50,250,1
1675,50,250,1
1676,50,250,1
1677,50,250,1
1739,40,0,1
1740,40,0,1
1741,40,0,1
1742,40,0,1
1743,40,0,1
1744,40,0,1
1745,40,0,1
1746,40,0,1
1747,40,0,1
1748,40,0,1
1749,40,0,1
1750,40,0,1
1751,40,0,1
1752,40,0,1
1753,40,0,1
1754,40,0,1
1755,0,0,1
1756,0,0,1
1757,0,0,1
1758,0,0,1
1759,0,0,1
1760,0,0,1
1761,0,0,1
1762,0,0,1
1764,0,0,1
1765,0,0,1
1766,0,0,1
1767,0,0,1
1768,0,0,1
1769,0,0,1
1770,0,0,1
1771,0,0,1
1772,0,0,1
1773,0,0,1
1774,0,0,1
1775,0,0,1
1776,0,0,1
1779,0,0,1
1780,0,0,1
1781,0,0,1
1786,20,100,0
1801,40,0,1
1802,40,0,1
1803,40,0,1
1804,40,0,1
1805,40,0,1
1806,40,0,1
1807,0,0,1
1808,0,0,1
1809,0,0,1
1810,0,0,1
1811,0,0,1
1813,0,0,1
1814,0,0,1
1815,0,0,1
1816,0,0,1
1818,0,0,1
1831,20,0,0
1832,20,0,0
1834,0,0,1
1835,20,0,1
1845,25,0,0
1852,30,0,0
1853,30,0,0
1856,35,0,0
1857,35,0,0
1861,0,0,1
1862,0,0,1
1863,0,0,1
1864,0,0,1
1865,0,0,1
1866,0,0,1
1870,0,0,1
1874,0,0,1
1875,0,0,1
1876,0,0,1
1877,0,0,1
1878,0,0,1
1879,0,0,1
1882,0,0,1
1883,0,0,1
1884,0,0,1
1889,0,0,1
1895,0,0,1
1897,0,0,1
1898,0,0,1
1899,0,0,1
1900,0,0,1
1901,0,0,1
1902,0,0,1
1909,0,0,1
1910,0,0,1
1911,0,0,1
1912,0,0,1
1927,0,0,1
1928,0,0,1
1929,0,0,1
1930,0,0,1
1931,0,0,1
1932,0,0,1
1933,0,0,1
1934,0,0,1
1935,0,0,1
1937,0,0,1
1938,0,0,1
1939,0,0,1
1940,0,0,1
1941,0,0,1
1942,0,0,1
1943,0,0,1
1944,0,0,1
1945,0,0,1
1947,0,0,1
1948,0,0,1
1949,0,0,1
1950,0,0,1
1951,0,0,1
1952,0,0,1
1953,0,0,1
1954,0,0,1
1955,0,0,1
1956,0,0,1
1957,0,0,1
1958,0,0,1
1959,0,0,1
1960,0,0,1
1961,0,0,1
1962,0,0,1
1963,0,0,1
1964,0,0,1
1965,15,0,0
1968,0,0,1
1977,0,0,1
1979,0,0,1
1980,0,0,1
1981,0,0,1
1982,0,0,1
1983,0,0,1
1990,0,0,1
1991,0,0,1
1994,0,0,1
1995,0,0,1
1996,0,0,1
1998,0,0,1
1999,0,0,1
2000,0,0,1
2012,0,0,1
2023,0,0,1
2024,0,0,1
2033,0,0,1
2034,0,0,1
2035,0,0,1
2036,0,0,1
2037,0,0,1
2038,0,0,1
2039,0,0,1
2040,0,0,1
2041,0,0,1
2045,10,0,1
2046,10,0,1
2047,10,0,1
2053,0,0,1
2060,0,0,1
2075,50,125,0
2076,50,125,0
2077,50,125,0
2078,50,125,0
2079,50,125,0
2080,50,125,0
2081,50,125,0
2082,50,125,0
2083,50,125,0
2084,50,125,0
2098,8,25,1
2099,8,25,1
2100,8,25,1
2101,8,25,1
2102,8,25,1
2103,8,25,1
2122,0,0,1
2124,0,0,1
2125,25,0,0
2126,25,0,0
2133,0,0,1
2134,0,0,1
2135,0,0,1
2136,0,0,1
2137,0,0,1
2138,0,0,1
2139,0,0,1
2140,0,0,1
2141,0,0,1
2142,0,0,1
2143,30,150,0
2144,30,150,0
2147,0,0,1
2148,20,0,0
2149,20,0,0
2150,20,0,0
2151,20,0,0
2154,10,0,0
2155,10,0,0
2156,10,0,0
2157,10,0,0
2158,10,0,0
2159,10,0,0
2160,10,0,0
2161,10,0,0
2162,10,0,0
2163,10,0,0
2164,10,0,0
2165,10,0,0
2166,10,0,0
2167,30,0,0
2168,30,0,0
2169,30,0,0
2170,30,0,0
2171,30,0,0
2172,30,0,0
2173,10,0,0
2174,10,0,0
2175,10,0,0
2176,10,0,0
2177,10,0,0
2178,10,0,0
2179,10,0,0
2180,10,0,0
2181,10,0,0
2182,0,50,0
2183,10,0,0
2184,10,0,0
2185,10,0,0
2186,10,0,0
2187,10,0,0
2189,60,300,0
2190,60,300,0
2191,40,200,0
2192,40,200,0
2193,60,300,0
2194,60,300,0
2205,0,0,1
2206,25,0,0
2207,20,0,0
2208,25,0,0
2209,0,0,1
2210,0,0,1
2211,0,0,1
2212,0,0,1
2213,25,0,0
2214,25,0,0
2215,0,0,1
2216,20,0,0
2217,20,0,0
2218,20,0,0
2233,0,0,1
2234,0,0,1
2235,0,0,1
2236,0,0,1
2237,0,0,1
2238,0,0,1
2239,0,0,1
2240,0,0,1
2241,0,0,1
2242,0,0,1
2243,0,0,1
2244,0,0,1
2245,20,0,1
2246,20,0,1
2247,20,0,1
2248,20,0,1
2249,20,0,1
2264,30,150,0
2265,30,150,0
2266,30,150,0
2267,30,150,0
2294,0,0,1
2295,0,0,1
2302,0,0,1
2314,0,0,1
2315,0,0,1
2318,0,0,1
2344,0,0,1
2449,0,0,1
2450,0,0,1
2451,0,0,1
2452,0,0,1
2453,0,0,1
2454,0,0,1
2455,0,0,1
2456,0,0,1
2457,0,0,1
2459,0,0,1
2460,0,0,1
2461,0,0,1
2462,0,0,1
2463,0,0,1
2464,0,0,1
2465,0,0,1
2466,0,0,1
2467,0,0,1
2468,0,0,1
2469,0,0,1
2470,0,0,1
2471,0,0,1
2472,0,0,1
2473,0,0,1
2484,15,0,0
2485,15,0,0
2486,15,0,0
2487,15,0,0
2488,15,0,0
2489,15,0,0
2527,20,100,0
2528,20,100,0
2529,20,100,0
2530,20,100,0
2531,20,100,0
2532,20,100,0
2533,20,100,0
2534,20,100,0
2580,0,0,1
2581,0,0,1
2582,0,0,1
2583,0,0,1
2637,0,0,1
2638,0,0,1
2641,0,0,1
2642,0,0,1
2643,0,0,1
2644,0,0,1
2656,0,0,1
2782,40,0,0
2796,15,0,0
2797,15,0,0
2798,15,0,0
2799,15,0,0
2800,15,0,0
2803,15,0,0
2804,15,0,0
2805,15,0,0
2806,15,0,0
2807,15,0,0
2808,15,0,0
2809,15,0,0
2810,15,0,0
2811,15,0,0
2812,0,0,1
2813,0,0,1
2814,0,0,1
2815,0,0,1
2816,0,0,1
2817,0,0,1
2818,0,0,1
2819,0,0,1
2820,0,0,1
2821,0,0,1
2822,0,0,1
2823,0,0,1
2824,0,0,1
2825,0,0,1
2826,0,0,1
2830,0,0,1
2831,0,0,1
2837,25,0,0
2868,0,0,1
2869,0,0,1
2870,0,0,1
2871,0,0,1
2872,0,0,1
2873,0,0,1
2874,0,0,1
2875,0,0,1
2876,0,0,1
2877,0,0,1
2878,0,0,1
2879,0,0,1
2880,0,0,1
2881,0,0,1
2882,0,0,1
2883,0,0,1
2884,0,0,1
2885,0,0,1
2886,0,0,1
2887,0,0,1
2888,0,0,1
2889,0,0,1
2890,0,0,1
2891,0,0,1
2892,0,0,1
2893,0,0,1
2894,0,0,1
2895,20,0,0
2896,20,0,0
2897,20,0,0
2898,20,0,0
2899,20,0,0
2900,20,0,0
2901,20,0,0
2902,20,0,0
2914,0,0,1
2916,60,300,0
2917,60,300,0
2919,15,75,0
2922,20,0,0
2923,0,0,1
2940,0,0,1
2941,0,0,1
2942,0,0,1
2943,0,0,1
2944,0,0,1
2945,0,0,1
2949,0,0,1
2950,0,0,1
2951,0,0,1
2952,0,0,1
2953,0,0,1
2956,20,0,1
2957,20,0,1
2958,20,0,1
2959,20,0,1
2960,20,0,1
2961,20,0,1
2962,20,0,1
2963,20,0,1
2978,10,0,1
2980,0,0,1
2981,0,0,1
2982,0,0,1
2983,0,0,1
2984,0,0,1
2985,50,250,0
2986,50,250,0
2987,35,175,0
2988,40,200,0
2989,0,0,1
2990,90,250,0
2991,90,250,0
2996,0,0,1
2998,35,175,0
2999,12,60,0
3000,40,200,0
3001,40,200,0
3002,40,200,0
3003,40,200,0
3004,40,200,0
3005,40,200,0
3006,40,200,0
3007,35,175,0
3010,20,75,0
3011,20,75,0
3012,20,75,0
3013,20,75,0
3028,15,0,0
3029,15,0,0
3030,15,0,0
3031,15,0,0
3032,15,0,0
3033,15,0,0
3034,15,0,0
3035,15,0,0
3036,15,0,0
3037,15,0,0
3038,15,0,0
3039,15,0,0
3040,15,0,0
3041,15,0,0
3042,15,0,0
3043,15,0,0
3044,15,0,0
3045,15,0,0
3046,15,0,0
3047,15,0,0
3048,15,0,0
3051,15,0,0
3052,15,0,0
3053,15,0,0
3054,15,0,0
3073,15,0,0
3074,15,0,0
3075,15,0,0
3076,15,0,0
3077,40,0,0
3078,40,0,0
3079,40,0,0
3080,40,0,0
3081,40,0,0
3082,40,0,0
3083,40,0,0
3084,40,0,0
3086,100,500,0
3088,100,500,0
3095,0,0,1
3096,0,0,1
3097,0,0,1
3098,0,0,1
3100,0,0,1
3101,0,0,1
3102,0,0,1
3103,0,0,1
3105,0,0,1
3116,60,300,0
3117,60,300,0
3118,40,200,0
3119,40,200,0
3120,40,200,0
3121,60,300,0
3122,60,300,0
3123,30,150,0
3124,30,150,0
3125,40,0,0
3126,40,0,0
3127,60,0,0
3128,30,150,0
3129,0,0,1
3133,0,0,1
3134,0,0,1
3135,0,0,1
3136,0,0,1
3137,0,0,1
3138,0,0,1
3139,60,300,1
3140,60,300,1
3141,0,0,1
3159,0,0,1
3160,0,0,1
3161,0,0,1
3162,0,0,1
3166,0,0,1
3167,0,0,1
3168,0,0,1
3169,0,0,1
3170,0,0,1
3171,0,0,1
3172,0,0,1
3173,0,0,1
3174,0,0,1
3175,0,0,1
3176,0,0,1
3177,0,0,1
3178,0,0,1
3179,0,0,1
3180,0,0,1
3181,0,0,1
3182,0,0,1
3183,0,0,1
3186,0,0,1
3189,0,0,1
3199,0,0,1
3200,0,0,1
3201,0,0,1
3202,0,0,1
3203,0,0,1
3204,0,0,1
3205,0,0,1
3207,0,0,1
3208,0,0,1
3209,0,0,1
3210,0,0,1
3211,0,0,1
3212,0,0,1
3213,0,0,1
3214,0,0,1
3215,0,0,1
3216,0,0,1
3217,0,0,1
3218,0,0,1
3219,0,0,1
3220,0,0,1
3221,0,0,1
3222,0,0,1
3223,0,0,1
3224,0,0,1
3225,0,0,1
3226,0,0,1
3228,0,0,1
3229,0,0,1
3235,0,0,1
3242,50,250,0
3267,0,0,1
3277,10,50,0
3278,10,50,0
3286,10,0,0
3287,10,0,0
3288,10,0,0
3289,10,0,0
3290,15,0,0
3305,0,0,1
3307,0,0,1
3308,0,0,1
3309,0,0,1
3310,0,0,1
3311,0,0,1
3312,0,0,1
3318,0,0,1
3319,0,0,1
3325,10,0,0
3332,10,50,0
3333,10,50,0
3334,10,50,0
3335,10,50,0
3336,10,50,0
3337,5,50,0
3338,5,50,0
3339,5,50,0
3353,15,0,0
3391,0,0,1
3392,0,0,1
3393,0,0,1
3420,30,0,0
3421,30,0,0
3422,30,0,0
3439,0,0,1
3440,70,350,0
3441,70,350,0
3443,0,0,1
3444,0,0,1
3450,35,175,0
3451,35,175,0
3452,35,175,0
3453,35,175,0
3454,35,175,0
3455,35,175,0
3462,0,0,1
3463,0,0,1
3464,0,0,1
3465,0,0,1
3466,0,0,1
3467,0,0,1
3468,0,0,1
3469,0,0,1
3470,0,0,1
3471,0,0,1
3472,0,0,1
3481,0,0,1
3483,70,350,0
3488,0,0,1
3489,0,0,1
3491,40,-560,0
3492,50,250,0
3493,40,-560,0
3494,40,200,0
3499,20,0,0
3500,0,0,1
3508,40,200,1
3509,40,200,1
3510,0,0,1
3511,0,0,1
3512,0,0,1
3513,0,0,1
3514,0,0,1
3515,0,0,1
3516,35,175,1
3518,20,100,0
3528,0,0,1
3529,0,0,1
3531,0,0,1
3533,0,0,1
3537,0,0,1
3539,0,0,1
3544,0,0,1
3545,0,0,1
3546,0,0,1
3551,0,0,1
3561,0,0,1
3562,0,0,1
3563,0,0,1
3565,5,0,1
3576,0,0,1
3585,25,125,1
3586,25,125,1
3587,25,125,1
3588,10,0,1
3589,10,0,1
3590,10,0,1
3591,10,0,1
3592,25,125,0
3593,25,125,0
3594,25,125,0
3595,25,125,0
3596,25,125,1
3597,25,125,1
3598,25,125,1
3599,25,125,1
3603,15,0,0
3611,0,0,1
3616,0,0,1
3619,0,0,1
3620,0,0,1
3621,0,0,1
3622,0,0,1
3623,0,0,1
3624,0,0,1
3625,20,100,0
3626,20,100,0
3627,20,100,0
3639,0,0,1
3643,0,0,1
3653,0,0,1
3658,0,0,1
3659,0,0,1
3664,30,0,0
3665,30,0,0
3690,-25,0,0
3691,-25,0,0
3692,-25,0,0
3693,-25,0,0
3694,-25,0,0
3695,-25,0,0
3696,-25,0,0
3697,-25,0,0
3698,-25,0,0
3699,-25,0,0
3700,-25,0,0
3709,-25,0,1
3710,-25,0,1
3711,-25,0,1
3712,-25,0,1
3713,0,0,1
3714,0,0,1
3715,0,0,1
3716,0,0,1
3721,-25,0,1
3722,-25,0,1
3723,-25,0,1
3724,-25,0,1
3725,0,0,1
3726,0,0,1
3727,0,0,1
3728,0,0,1
3739,0,0,1
3756,-25,0,1
3757,-25,0,1
3758,-25,0,1
3759,-25,0,1
3760,-25,0,1
3761,-25,0,1
3762,-25,0,1
3763,-25,0,1
3764,0,0,1
3765,0,0,1
3766,0,0,1
3767,0,0,1
3768,0,0,1
3769,0,0,1
3770,0,0,1
3771,0,0,1
3772,0,0,1
3773,0,0,1
3774,0,0,1
3779,0,0,1
3828,10,0,0
3835,15,75,1
3836,10,50,1
3837,12,60,1
3838,12,60,1
3839,12,60,1
3840,12,60,1
3841,12,60,1
3842,12,60,1
3843,12,60,0
3844,12,60,1
3845,12,60,0
3846,12,60,0
3847,12,60,0
3848,12,60,0
3849,12,60,0
3850,12,60,1
3854,0,0,1
3855,0,0,1
3856,0,0,1
3857,0,0,1
3858,0,0,1
3859,0,0,1
3860,0,0,1
3861,0,0,1
3862,0,0,1
3863,0,0,1
3864,0,0,1
3865,0,0,1
3866,0,0,1
3867,0,0,1
3868,0,0,1
3869,0,0,1
3870,0,0,1
3871,0,0,1
3872,0,0,1
3873,0,0,1
3874,0,0,1
3875,0,0,1
3876,0,0,1
3877,0,0,1
3878,0,0,1
3879,0,0,1
3880,0,0,1
3881,0,0,1
3882,0,0,1
3883,0,0,1
3884,0,0,1
3885,0,0,1
3886,0,0,1
3907,10,50,1
3922,80,0,0
3948,0,0,1
3969,15,0,0
3970,15,0,0
3971,15,0,0
3972,5,0,0
3973,5,0,0
3974,5,0,0
3975,20,100,0
3976,20,100,0
3977,20,100,0
3978,20,100,0
3979,20,100,0
3986,0,0,1
3987,0,0,1
3988,0,0,1
3989,0,0,1
4001,30,150,0
4010,0,0,1
4053,20,0,0
4069,0,0,1
4070,0,0,1
4071,0,0,1
4072,0,0,1
4073,0,0,1
4074,0,0,1
4075,0,0,1
4076,0,0,1
4077,0,0,1
4078,0,0,1
4112,0,0,1
4113,0,0,1
4115,0,0,1
4157,0,0,1
4158,0,0,1
4159,0,0,1
4160,0,0,1
4161,0,0,1
4162,0,0,1
4164,0,0,1
4165,0,0,1
4166,0,0,1
4187,0,0,1
4189,0,0,1
4190,0,0,1
4191,0,0,1
4193,0,0,1
4194,0,0,1
4195,0,0,1
4196,0,0,1
4197,0,0,1
4198,0,0,1
4199,0,0,1
4200,0,0,1
4201,0,0,1
4202,0,0,1
4203,0,0,1
4204,0,0,1
4205,0,0,1
4206,0,0,1
4207,0,0,1
4208,0,0,1
4209,0,0,1
4210,0,0,1
4211,0,0,1
4212,0,0,1
4213,0,0,1
4214,0,0,1
4215,0,0,1
4216,0,0,1
4217,0,0,1
4218,0,0,1
4219,0,0,1
4220,0,0,1
4221,0,0,1
4222,0,0,1
4223,0,0,1
4224,0,0,1
4225,0,0,1
4227,0,0,1
4229,0,0,1
4230,0,0,1
4232,0,0,1
4236,0,0,1
4237,0,0,1
4238,0,0,1
4239,0,0,1
4240,0,0,1
4241,0,0,1
4242,0,0,1
4243,0,0,1
4275,0,0,1
4280,0,0,1
4287,0,0,1
4288,0,0,1
4289,10,50,1
4290,0,0,1
4305,0,0,1
4320,0,0,1
4331,0,0,1
4332,20,75,1
4337,0,0,1
4338,0,0,1
4339,0,0,1
4340,0,0,1
4341,0,0,1
4350,0,0,1
4351,0,0,1
4352,0,0,1
4353,0,0,1
4354,0,0,1
4355,0,0,1
4356,0,0,1
4357,0,0,1
4358,0,0,1
4359,0,0,1
4360,0,0,1
4361,0,0,1
4407,0,0,1
4408,0,0,1
4409,0,0,1
4410,0,0,1
4411,40,200,1
4412,40,200,1
4413,40,200,0
4414,40,200,0
4415,0,0,1
4420,0,0,1
4422,0,0,1
4427,-25,0,0
4428,-25,0,0
4429,-25,0,0
4430,-25,0,0
4432,-25,0,0
4433,-25,0,0
4434,-25,0,0
4435,0,0,1
4442,-25,0,0
4443,-25,0,0
4462,0,0,1
4473,-25,0,0
4474,-25,0,0
4475,-25,0,0
4488,0,0,1
4489,0,0,1
4490,0,0,1
4508,0,0,1
4509,0,0,1
4510,0,0,1
4511,0,0,1
4543,0,0,1
4559,0,0,1
4560,0,0,1
4572,0,0,1
4573,0,0,1
4574,0,0,1
4575,0,0,1
4576,0,0,1
4577,0,0,1
4585,0,0,1
4586,20,50,1
4587,20,50,1
4588,20,50,1
4589,20,50,1
4590,20,50,1
4591,20,50,1
4592,20,50,1
4595,0,0,1
4596,0,0,1
4597,0,0,1
4598,0,0,1
4599,0,0,1
4600,0,0,1
4601,0,0,1
4602,0,0,1
4603,0,0,1
4604,0,0,1
4605,0,0,1
4606,0,0,1
4607,0,0,1
4608,0,0,1
4609,0,0,1
4626,0,0,1
4635,0,0,1
4640,15,0,0
4641,15,0,0
4656,15,0,0
4657,15,0,0
4658,15,0,0
4659,15,0,0
4660,15,0,0
4661,15,0,0
4662,15,0,0
4663,15,0,0
4664,15,0,0
4665,15,0,0
4666,15,0,0
4667,15,0,0
4668,15,0,0
4669,15,0,0
4688,30,150,0
4689,30,150,0
4690,30,150,0
4691,15,150,0
4715,0,0,1
4716,0,0,1
4717,0,0,1
4718,0,0,1
4719,0,0,1
4720,0,0,1
4721,0,0,1
4722,0,0,1
4723,0,0,1
4728,0,0,1
4729,0,0,1
4730,0,0,1
4731,0,0,1
4732,0,0,1
4738,0,0,1
4739,20,0,1
4740,20,0,1
4741,20,0,1
4742,0,0,1
4743,0,0,1
4744,0,0,1
4745,0,0,1
4746,0,0,1
4778,0,0,1
4779,15,0,0
4805,10,0,0
4806,0,0,1
4808,0,0,1
4810,0,0,1
4811,0,0,1
4812,0,0,1
4813,60,300,0
4814,0,0,1
4816,0,0,1
4823,25,0,0
4824,25,0,0
4825,25,0,0
4826,25,0,0
4827,25,0,0
4828,25,0,0
4829,25,0,0
4830,25,0,0
4831,25,0,0
4832,25,0,0
4833,25,0,0
4834,25,0,0
4835,25,0,0
4836,25,0,0
4837,25,0,0
4838,25,0,0
4839,25,0,0
4840,25,0,0
4841,25,0,0
4842,25,0,0
4843,25,0,0
4844,25,0,0
4845,25,0,0
4846,25,0,0
4847,0,0,1
4848,0,0,1
4855,0,0,1
4856,0,0,1
4857,0,0,1
4863,0,0,1
4882,50,250,1
4890,0,0,1
4891,0,0,1
4894,0,0,1
4902,15,0,0
4903,15,0,0
4904,15,0,0
4905,15,0,0
4906,15,0,0
4913,0,0,1
4927,40,0,0
4929,0,0,1
4930,0,0,1
4931,0,0,1
4932,0,0,1
4933,0,0,1
4934,0,0,1
4935,0,0,1
4936,0,0,1
4937,0,0,1
4938,0,0,1
4939,0,0,1
4940,0,0,1
4941,0,0,1
4942,0,0,1
4943,0,0,1
4944,0,0,1
4945,0,0,1
4946,0,0,1
4947,0,0,1
4948,0,0,1
4949,0,0,1
4950,0,0,1
4951,0,0,1
4952,0,0,1
4953,0,0,1
4954,0,0,1
4955,0,0,1
4956,0,0,1
4957,0,0,1
