# This file is generated; do not edit manually.
# cache: 8e40129 Cache version 2026-09-08-rev240
# wiki pets fetched: 2026-09-08T17:28:30Z
# dogs paired from the cache because the wiki lacks them: 24
item_id,npc_ids,npc_models
21195,7448|7646,
# Rock golem (Adamantite)
21196,7449|7647,
# Rock golem (Runite)
21197,7450|7648,
# Skotos
21273,425|7671,31653
# Jal-Nib-Rek (Jal-Nib-Rek)
21291,7674|7675,
# Rock golem (Amethyst)
21340,2182|7711,
# Rock golem (Lovakite)
21358,7736|7739,
# Rock golem (Elemental)
21359,7737|7740,
# Rock golem (Daeyalt)
21360,7738|7741,
# Herbi
21509,7759|7760,
# Noon (Noon)
21748,7891|7892,34183
# Noon (Midnight)
21750,7890|7893,34187
# Rift guardian (Wrath)
21990,8024|8028,
# Vorki
21992,8025|8029,35023
# Pet dark core (Corporeal Critter)
22318,8008|8010,
# Jal-Nib-Rek (TzRek-Zuk)
22319,8009|8011,34586
# Olmlet (Puppadile)
22376,8196|8201,32681
# Olmlet (Tektiny)
22378,8202|8197,32682
# Olmlet (Vanguard)
22380,8198|8203,32684
# Olmlet (Vasa Minirio)
22382,8204|8199,32680
# Olmlet (Vespina)
22384,8200|8205,32689
# Lil' Zik (Lil' Zik)
22473,8336|8337,35381
# Pet Smoke Devil (Normal)
22663,8482|8483,
# Ikkle Hydra (Serpentine)
22746,8492|8517,36185
# Ikkle Hydra (Electric)
22748,8493|8518,36192
# Ikkle Hydra (Fire)
22750,8494|8519,36188
# Ikkle Hydra (Extinguished)
22752,8495|8520,36191
# Sraracha (Red)
23495,2143|2144,37292
# Youngllef (Youngllef)
23757,8729|8737,38596
# Youngllef (Corrupted Youngllef)
23759,8730|8738,38597
# Smolcano
23760,8731|8739,38592
# Phoenix (Green)
24483,3077|3081,
# Phoenix (Blue)
24484,3078|3082,
# Phoenix (White)
24485,3079|3083,
# Phoenix (Purple)
24486,3080|3084,
# Little Nightmare (Nightmare)
24491,9398|9399,39196
# Tangleroot (Crystal)
24555,9492|9497,
# Tangleroot (Dragonfruit)
24557,9493|9498,
# Tangleroot (Herb)
24559,9494|9499,
# Tangleroot (White lily)
24561,9495|9500,
# Tangleroot (Redwood)
24563,9496|9501,
# Olmlet (Enraged Tektiny)
24656,9511|9513,32682
# Olmlet (Flying Vespina)
24658,9512|9514,32689
# Giant Squirrel (Dark)
24701,9637|9638,
# Rocky (Red panda)
24847,9850|9852,
# Rocky (Tanuki)
24849,9851|9853,
# Lil' Creator (Lil' Creator)
25348,2833|3566,41240
# Lil' Creator (Lil' Destructor)
25350,3564|5008,41242
# TzRek-Jad (JalRek-Jad)
25519,10620|10625,33012
# Heron (Great blue)
25600,6817|10636,
# Tiny tempor
25602,10562|10637,41812
# Baby Mole (Mole-rat)
25613,10650|10651,
# Lil' Zik (Lil' Maiden)
25748,10761|10870,35385
# Lil' Zik (Lil' Bloat)
25749,10762|10871,35404
# Lil' Zik (Lil' Nylo)
25750,10763|10872,35183
# Lil' Zik (Lil' Sot)
25751,10764|10873,35403
# Lil' Zik (Lil' Xarp)
25752,10765|10874,35383
# Little Nightmare (Parasite)
25836,8183|8541,39210
# Sraracha (Orange)
25842,11157|11159,37291
# Sraracha (Blue)
25843,11158|11160,37290
# Nexling
26348,11276|11277,43209
# Rift guardian (Greatish guardian)
26899,11401|11428,44061
# Abyssal protector
26901,11402|11429,44070
# Tumeken's guardian (Tumeken's Guardian)
27352,11652|11812,46337
# Tumeken's guardian (Elidinis' Guardian)
27354,11653|11813,46332
# Tumeken's guardian (Akkhito)
27382,11840|11846,46360|46356|46357
# Tumeken's guardian (Babi)
27383,11841|11847,46352|46350
# Tumeken's guardian (Kephriti)
27384,11842|11848,46417
# Tumeken's guardian (Zebo)
27385,11843|11849,46509
# Tumeken's guardian (Tumeken's Damaged Guardian)
27386,11844|11850,46333
# Tumeken's guardian (Elidinis' Damaged Guardian)
27387,11845|11851,46335
# Muphin (Ranged)
27590,12005|12014,47149
# Muphin (Melee)
27592,12006|12015,47147
# Muphin (Shielded)
27593,12007|12016,47156
# Venenatis spiderling (Legacy)
27648,11981|11985,28295
# Callisto cub (Legacy)
27649,11982|11986,
# Vet'ion Jr. (Normal (legacy))
27650,11983|11987,
# Vet'ion Jr. (Reborn (legacy))
27651,11984|11988,
# Beaver (Oak)
28229,12170|12182,
# Beaver (Willow)
28230,12171|12183,
# Beaver (Maple)
28231,12172|12184,
# Beaver (Yew)
28232,12173|12185,
# Beaver (Magic)
28233,12174|12186,
# Beaver (Redwood)
28234,12175|12187,
# Beaver (Teak)
28235,12176|12188,
# Beaver (Mahogany)
28236,12177|12189,
# Beaver (Arctic Pine)
28237,12178|12190,
# Wisp
28246,12153|12157,49222|49218|49221
# Butch
28248,12154|12158,49298
# Baron
28250,12155|12159,49195
# Lil'viathan
28252,12156|12160,49285|49284
# Pheasant (pet)
28669,12547|12549,
# Fox (pet)
28670,12548|12550,
# Scurry
28801,7219|7616,50146
# Smol Heredit
28960,12767|12857,52580|52578
# Quetzin
28962,12768|12858,
# Broav
29519,13518|13665,53343
# Nid (Nid)
29836,13681|13683,54289
# Nid (Rax)
29838,13682|13684,44936
# Giant Squirrel (Bone)
30151,14032|14044,
# Huberte
30152,14033|14045,54453
# Moxi
30154,14034|14046,54438|54437
# Bran (Bran)
30622,10476|12593,55951
# Bran (Ric)
30624,12592|12595,55938
# Yami
30888,14203|14204,10339
# Humphrey Dumphrey
30970,14487,56428
# Dom
31130,14785|14519,56456
# Spooky chair
31225,14815,
# Rock golem (Lead)
31276,14923|15051,
# Rock golem (Rubium)
31277,14924|15052,
# Rock golem (Nickel)
31278,14925|15053,
# Beaver (Camphor)
31279,14926|15054,48158
# Beaver (Ironwood)
31280,14927|15055,48158
# Beaver (Jatoba)
31281,14928|15056,48158
# Beaver (Rosewood)
31282,14929|15057,48158
# Soup
31283,14930|15058,59482
# Gull (pet) (Gull)
31285,14931|15059,59403
# Gull (pet) (Gulliver)
31287,14932|15060,59398
# Mayor of Catherby
31331,15050,
# Beef
33124,15631|15633,
# Archibald (Archibald)
33151,15586|15587,
# Archibald (Grid)
33153,15588|15590,
# Archibald (Bunny)
33155,15591|15592,
# Archibald (Diamonds)
33157,15593|15594,
# Archibald (Chick)
33159,15595|15596,
# Archibald (Melted)
33161,15597|15598,
# Archibald (Dragon)
33163,15599|15600,
# Maggot marquess
33642,15740|16293,61513
# Mr McGroot
34040,16316|16333,61849
# Aggy
34042,16317|16334,61867
# Labrador (1)
34431,16361|16540,57145
# Labrador (2)
34433,16362|16541,57147
# Labrador (3)
34435,16363|16542,57142
# Chihuahua (1)
34437,16364|16543,61972
# Chihuahua (2)
34439,16365|16544,61974
# Chihuahua (3)
34441,16366|16545,61973
# Border collie (1)
34443,16367|16546,61976
# Border collie (2)
34445,16368|16547,61977
# Border collie (3)
34447,16369|16548,61975
# Corgi (1)
34449,16370|16549,55847
# Corgi (2)
34451,16371|16550,61978
# Corgi (3)
34453,16372|16551,55850
# Greyhound (1)
34455,16373|16552,
# Greyhound (2)
34457,16374|16553,
# Greyhound (3)
34459,16375|16554,61980
# Husky (1)
34461,16376|16555,55849
# Husky (2)
34463,16377|16556,61983
# Husky (3)
34465,16378|16557,61982
# Pug (1)
34467,16379|16558,55851
# Pug (2)
34469,16380|16559,61985
# Pug (3)
34471,16381|16560,
# Samoyed (1)
34473,16382|16561,
# Samoyed (2)
34475,16383|16562,61987
# Samoyed (3)
34477,16384|16563,
# Bernese mountain dog (1)
34479,16385|16564,61989
# Bernese mountain dog (2)
34481,16386|16565,55848
# Bernese mountain dog (3)
34483,16387|16566,55846
# Shiba (1)
34485,16388|16567,
# Shiba (2)
34487,16389|16568,
# Shiba (3)
34489,16390|16569,
# Spaniel (1)
34491,16391|16570,61992
# Spaniel (2)
34493,16392|16571,61993
# Spaniel (3)
34495,16393|16572,61994
# Yorkie (1)
34497,16394|16573,55852
# Yorkie (2)
34499,16395|16574,
# Yorkie (3)
34501,16396|16575,61995
# Labrador puppy (1)
34503,16433,62011
# Labrador puppy (2)
34505,16434,62012
# Labrador puppy (3)
34507,16435,62013
# Husky puppy (1)
34509,16436,62008
# Husky puppy (2)
34511,16437,62010
# Husky puppy (3)
34513,16438,62009
# Chihuahua puppy (1)
34515,16439,61996
# Chihuahua puppy (2)
34517,16440,
# Chihuahua puppy (3)
34519,16441,61997
# Border collie puppy (1)
34521,16442,62000
# Border collie puppy (2)
34523,16443,62001
# Border collie puppy (3)
34525,16444,61999
# Corgi puppy (1)
34527,16445,62002
# Corgi puppy (2)
34529,16446,62004
# Corgi puppy (3)
34531,16447,62003
# Greyhound puppy (1)
34533,16448,
# Greyhound puppy (2)
34535,16449,
# Greyhound puppy (3)
34537,16450,
# Pug puppy (1)
34539,16451,62014
# Pug puppy (2)
34541,16452,62016
# Pug puppy (3)
34543,16453,
# Samoyed puppy (1)
34545,16454,
# Samoyed puppy (2)
34547,16455,62018
# Samoyed puppy (3)
34549,16456,62019
# Bernese mountain dog puppy (1)
34551,16457,62022
# Bernese mountain dog puppy (2)
34553,16458,62021
# Bernese mountain dog puppy (3)
34555,16459,62020
# Shiba puppy (1)
34557,16460,
# Shiba puppy (2)
34559,16461,62025
# Shiba puppy (3)
34561,16462,62024
# Spaniel puppy (1)
34563,16463,
# Spaniel puppy (2)
34565,16464,
# Spaniel puppy (3)
34567,16465,
# Yorkie puppy (1)
34569,16466,62029
# Yorkie puppy (2)
34571,16467,
# Yorkie puppy (3)
34573,16468,62031
