# This file is generated; do not edit manually.
# cache: 111ee1c Cache version 2026-09-23-c1-rev240
id,zoom2d,xOffset2d,yOffset2d,resizeX,resizeY,resizeZ,boughtTemplateId,boughtId,variants
115,550,,-1,,,,,,
117,550,,-1,,,,,,
119,550,,-1,,,,,,
121,550,,-1,,,,,,
123,550,,-1,,,,,,
125,550,,-1,,,,,,
127,550,,-1,,,,,,
129,550,,-1,,,,,,
131,550,,-1,,,,,,
133,550,,-1,,,,,,
135,550,,-1,,,,,,
137,550,,-1,,,,,,
139,550,,-1,,,,,,
141,550,,-1,,,,,,
143,550,,-1,,,,,,
145,550,,-1,,,,,,
147,550,,-1,,,,,,
149,550,,-1,,,,,,
151,550,,-1,,,,,,
153,550,,-1,,,,,,
155,550,,-1,,,,,,
157,550,,-1,,,,,,
159,550,,-1,,,,,,
161,550,,-1,,,,,,
163,550,,-1,,,,,,
165,550,,-1,,,,,,
167,550,,-1,,,,,,
169,550,,-1,,,,,,
171,550,,-1,,,,,,
173,550,,-1,,,,,,
175,550,,-1,,,,,,
177,550,,-1,,,,,,
179,550,,-1,,,,,,
181,550,,-1,,,,,,
183,550,,-1,,,,,,
185,550,,-1,,,,,,
187,550,,-1,,,,,,
189,550,,-1,,,,,,
191,550,,-1,,,,,,
193,550,,-1,,,,,,
195,550,,-1,,,,,,
197,700,,1,,,,,,
199,700,4,,,,,,,
201,700,4,,,,,,,
203,700,4,,,,,,,
205,700,4,,,,,,,
207,700,4,,,,,,,
209,700,4,,,,,,,
211,700,4,,,,,,,
213,700,4,,,,,,,
215,700,4,,,,,,,
217,700,4,,,,,,,
219,700,4,,,,,,,
221,690,1,-2,,,,,,
223,1500,-3,,,,,,,
225,930,-6,-3,,,,,,
227,550,,-1,,,,,,
229,550,,-1,,,,,,
231,1170,-1,2,,,,,,
233,680,-3,-8,,,,,,
235,1210,-6,,,,,,,
237,840,4,-8,,,,,,
239,970,1,4,,,,,,
241,1210,-6,,,,,,,
243,1370,7,,,,,,,
245,600,1,100,,,,,,
247,970,1,4,,,,,,
249,700,4,,,,,,,
251,700,4,,,,,,,
253,700,4,,,,,,,
255,700,4,,,,,,,
257,700,4,,,,,,,
259,700,4,,,,,,,
261,700,4,,,,,,,
263,700,4,,,,,,,
265,700,4,,,,,,,
267,700,4,,,,,,,
269,700,4,,,,,,,
271,660,,4,,,,,,
272,920,-1,-24,,,,,,
273,780,-2,-7,,,,,,
274,920,-1,-24,,,,,,
275,700,-3,5,,,,,,
276,860,,-2,,,,,,
277,1650,-7,9,,,,,,
278,680,-5,,,,,,,
279,930,,-3,,,,,,
280,1410,2,,,,,,,
281,1410,2,,,,,,,
282,1410,2,,,,,,,
283,1410,2,,,,,,,
284,1360,,3,,,,,,
285,1650,,-10,,,,,,
286,1244,-1,,,,,,,
287,1244,-1,,,,,,,
288,1244,-1,,,,,,,
290,1180,,-14,,,,,,
291,1040,1,7,,,,,,
292,840,,,,,,,,
293,700,-3,5,,,,,,
294,640,,,,,,,,
295,620,1,16,,,,,,
296,1070,,-3,,,,,,
297,1070,,-3,,,,,,
298,700,-3,5,,,,,,
299,920,7,39,,,,,,
300,590,2,-1,,,,,,
301,1180,,,,,,,,
303,840,3,5,,,,,,
305,1700,6,19,,,,,,
307,1080,-3,8,,,,,,
309,1030,-5,7,,,,,,
311,1030,2,-85,,,,,,
313,650,1,-6,,,,,,
314,700,4,10,,,,,,
315,950,,,,,,,,
317,950,,,,,,,,
319,950,,,,,,,,
321,950,,,,,,,,
323,950,,,,,,,,
325,820,-1,13,,,,,,
327,820,-1,13,,,,,,
329,1370,,3,,,,,,
331,1370,,3,,,,,,
333,1370,,3,,,,,,
335,1370,,3,,,,,,
337,1370,,3,,,,,,
338,1370,,3,,,,,,
339,1370,,3,,,,,,
341,1370,,3,,,,,,
343,1370,,3,,,,,,
345,900,3,8,,,,,,
347,900,3,8,,,,,,
349,1370,,3,,,,,,
351,1370,,3,,,,,,
353,900,3,8,,,,,,
355,900,3,8,,,,,,
357,900,3,8,,,,,,
359,1340,,3,,,,,,
361,1340,,3,,,,,,
363,1340,,3,,,,,,
365,1340,,3,,,,,,
367,1340,,3,,,,,,
369,820,-1,13,,,,,,
371,1710,-7,,,,,,,
373,1710,-7,,,,,,,
375,1710,-7,,,,,,,
377,1020,4,16,,,,,,
379,1020,4,16,,,,,,
381,1020,4,16,,,,,,
383,1860,5,12,,,,,,
385,1860,5,12,,,,,,
387,1860,5,12,,,,,,
389,1830,-3,,,,,,,
391,1830,-3,,,,,,,
393,1830,-3,,,,,,,
395,1810,,-103,,,,,,
397,1810,,-103,,,,,,
399,1810,,-103,,,,,,
401,1360,7,-13,,,,,,
403,1360,7,-13,,,,,,
405,1410,3,-6,,,,,,
407,700,-1,6,,,,,,
409,910,4,50,,,,,,
411,910,4,50,,,,,,
413,910,4,50,,,,,,
415,550,,-1,,,,,,
416,550,,-1,,,,,,
417,550,,-1,,,,,,
418,1060,,2,,,,,,
419,1050,-1,30,,,,,,
420,720,3,3,,,,,,
421,420,-1,-5,,,,,,
422,550,-2,-4,,,,,,
423,700,-3,5,,,,,,
424,1590,-9,-21,,,,,,
425,1180,,,,,,,,
426,1370,,7,,,,,,
428,1940,,1,,,,,,
430,1040,-2,11,,,,,,
431,970,,-1,,,,,,
432,700,-3,5,,,,,,
433,1040,1,7,,,,,,
434,1210,-6,,,,,,,
436,1400,1,15,,,,,,
438,1400,1,15,,,,,,
440,1400,1,15,,,,,,
442,1400,1,15,,,,,,
444,1400,1,15,,,,,,
446,1400,1,15,,,,,,
447,1400,1,15,,,,,,
449,1400,1,15,,,,,,
451,1400,1,15,,,,,,
453,1400,1,15,,,,,,
455,830,5,8,,,,,,
456,1730,-5,,,,,,,
457,1730,-5,,,,,,,
458,1730,-5,,,,,,,
459,1730,-5,,,,,,,
460,1730,-5,,,,,,,
461,1730,-5,,,,,,,
462,1730,-5,,,,,,,
463,1730,-5,,,,,,,
464,940,,,,,,,,
466,1070,-2,-19,,,,,,
468,1070,-2,-19,,,,,,
470,1070,-2,-19,,,,,,
472,1070,-2,-19,,,,,,
474,1070,-2,-19,,,,,,
476,1070,-2,-19,,,,,,
478,1070,-2,-19,,,,,,
480,1070,-2,-19,,,,,,
482,1070,-2,-19,,,,,,
484,1070,-2,-19,,,,,,
486,1070,-2,-19,,,,,,
488,1070,-2,-19,,,,,,
490,1070,-2,-19,,,,,,
492,1220,-19,-6,,,,,,
494,1060,-15,,,,,,,
496,1060,-15,,,,,,,
498,1060,-15,,,,,,,
500,1060,-15,,,,,,,
502,1060,-15,,,,,,,
504,1060,-15,,,,,,,
506,1060,-15,,,,,,,
508,1060,-15,,,,,,,
510,1060,-15,,,,,,,
512,1060,-15,,,,,,,
514,1060,-15,,,,,,,
516,1060,-15,,,,,,,
518,1060,-15,,,,,,,
520,1060,-15,,,,,,,
522,560,1,3,,,,,,
523,560,1,3,,,,,,
524,560,1,3,,,,,,
525,870,-3,,,,,,,
526,1410,2,,,,,,,
528,1410,2,,,,,,,
530,1410,2,,,,,,,
532,1830,,,,,,,,
534,1830,,,,,,,,
536,1830,,,,,,,,
538,1940,,1,,,,,,
540,1370,,7,,,,,,
542,1940,,1,,,,,,
544,1370,,7,,,,,,
546,1370,,7,,,,,,
548,1940,,1,,,,,,
550,990,-1,56,,,,,,
552,480,,,,,,,,
553,530,-1,-10,,,,,,
554,740,,1,,,,,,
555,740,,1,,,,,,
556,740,,1,,,,,,
557,740,,1,,,,,,
558,740,,1,,,,,,
559,740,,1,,,,,,
560,740,,1,,,,,24415,
561,740,,1,,,,,,
562,740,,1,,,,,,
563,740,,1,,,,,,
564,740,,1,,,,,,
565,740,,1,,,,,,
566,740,,1,,,,,,
567,790,3,3,,,,,,
569,790,3,3,,,,,,
571,790,3,3,,,,,,
573,790,3,3,,,,,,
575,790,3,3,,,,,,
577,1370,,7,,,,,,
579,800,5,-10,,,,,,
581,1370,,7,,,,,,
583,1020,,-18,,,,,,
585,1020,,-18,,,,,,
587,1260,,,,,,,,
588,1550,,,,,,,,
589,620,1,16,,,,,,
590,660,1,-10,,,,,,
592,1210,-6,,,,,,,
594,1310,,-6,,,,,,
595,1310,,-6,,,,,,
596,1660,,,,,,,,
598,1580,,,,,,,,2:2542|3:2543|4:2544|5:2545
599,1010,1,-1,,,,,,
600,950,2,10,,,,,,
601,700,-3,5,,,,,,
602,2610,,-17,,,,,,
603,1178,1,15,,,,,,
604,580,6,-1,,,,,,
605,700,-3,5,,,,,,
606,1580,8,19,,,,,,
607,1040,1,7,,,,,,
608,1040,1,7,,,,,,
609,1780,-4,12,,,,,,
610,1780,-4,12,,,,,,
611,1270,1,-8,,,,,,
612,1270,1,-8,,,,,,
613,1270,1,-8,,,,,,
614,1270,1,-8,,,,,,
615,1270,1,-8,,,,,,
616,1020,,-16,,,,,,
617,710,3,,,,,,,
618,860,5,-8,,,,,,
619,830,6,-2,,,,,,
620,830,6,-2,,,,,,
621,830,6,-2,,,,,,
623,1040,-2,-2,,,,,,
624,1040,1,7,,,,,,
625,2190,,,,,,,,
626,770,1,-6,,,,,,
628,770,1,-6,,,,,,
630,770,1,-6,,,,,,
632,770,1,-6,,,,,,
634,770,1,-6,,,,,,
636,1370,,7,,,,,,
638,1370,,7,,,,,,
640,1370,,7,,,,,,
642,1370,,7,,,,,,
644,1370,,7,,,,,,
646,1940,,1,,,,,,
648,1940,,1,,,,,,
650,1940,,1,,,,,,
652,1940,,1,,,,,,
654,1940,,1,,,,,,
656,800,5,-10,,,,,,
658,800,5,-10,,,,,,
660,800,5,-10,,,,,,
662,800,5,-10,,,,,,
664,800,5,-10,,,,,,
666,1450,,,,,,,,
667,1530,6,-49,,,,,,
668,1400,1,15,,,,,,
669,1178,,-1,,,,,,
670,790,2,-12,,,,,,
671,1232,9,,,,,,,
672,1360,,,,,,,,
673,1114,,-9,,,,,,
674,1130,8,-37,,,,,,
675,700,-6,-10,,,,,,
676,1030,1,-5,,,,,,
677,1340,,17,,,,,,
678,1340,,17,,,,,,
679,1340,,17,,,,,,
680,1550,7,12,,,,,,
681,1150,-1,9,,,,,,
682,1243,,-1,,,,,,
683,919,,,,,,,,
684,460,10,14,,,,,,
685,1000,6,-4,,,,,,
686,590,,-1,,,,,,
687,800,17,-16,,,,,,
688,600,-3,2,,,,,,
689,1130,4,-17,,,,,,
690,960,-1,1,,,,,,
691,1243,,-1,,,,,,
692,1243,,-1,,,,,,
693,1243,,-1,,,,,,
694,1140,,,,,,,,
695,510,1,17,,,,,,
696,1243,,-1,,,,,,
697,1450,-8,11,,,,,,
698,1510,5,8,,,,,,
699,1370,,-16,,,,,,
700,1210,-6,,,,,,,
701,1210,-6,,,,,,,
702,550,,-1,,,,,,
703,550,,-1,,,,,,
704,1210,-6,,,,,,,
705,550,,-1,,,,,,
706,550,,-1,,,,,,
707,550,,-1,,,,,,
708,1130,3,4,,,,,,
709,700,-3,5,,,,,,
710,1070,,-3,,,,,,
711,830,1,-21,,,,,,
712,500,-1,-2,,,,,,
713,1940,,1,,,,,,
714,1040,1,7,,,,,,
715,1040,1,7,,,,,,
716,1000,,,,,,,,
717,940,,,,,,,,
718,940,,,,,,,,
719,940,,,,,,,,
720,1040,1,7,,,,,,
721,910,,,,,,,,
722,910,,,,,,,,
723,910,,,,,,,,
724,910,,,,,,,,
725,910,,,,,,,,
726,910,,,,,,,,
727,1770,-2,-15,,,,,,
728,1770,-2,-15,,,,,,
729,840,,,,,,,,
730,1340,,5,,,,,,
731,710,,-2,,,,,,
732,710,,-2,,,,,,
733,960,-1,1,,,,,,
735,920,7,39,,,,,,
736,920,7,39,,,,,,
737,550,,-1,,,,,,
738,550,,-1,,,,,,
739,550,,-1,,,,,,
740,800,5,-10,,,,,,
741,660,2,1,,,,,,
742,660,2,1,,,,,,
743,510,6,6,,,,,,
744,660,2,1,,,,,,
745,660,2,1,,,,,,
746,1000,1,,,,,,,
747,1000,1,,,,,,,
748,1460,,17,,,,,,
749,4070,-84,-51,,,,,,
750,4070,-84,-51,,,,,,
751,790,,,,,,,,
753,970,1,4,,,,,,
755,720,1,,,,,,,
756,550,,-1,,,,,,
757,1232,1,-1,,,,,,
758,700,-3,5,,,,,,
759,700,-3,5,,,,,,
761,1040,1,7,,,,,,
762,1660,-5,1,,,,,,
763,1373,12,-12,,,,,,
764,779,3,,,,,,,
765,1503,-7,15,,,,,,
766,1095,3,,,,,,,
767,1112,15,12,,,,,,
769,2020,-3,-10,,,,,,
770,1950,4,4,,,,,,
771,940,-8,-21,,,,,,
772,1979,,16,,,,,,
773,830,3,-35,,,,,,
774,465,7,66,,,,,,
775,930,8,-8,,,,,,
776,930,8,-8,,,,,,
777,930,8,-8,,,,,,
778,930,8,-8,,,,,,
779,,,18,,,,,,
780,,,18,,,,,,
781,,,18,,,,,,
782,,,18,,,,,,
783,900,2,64,,,,,,
784,830,1,-21,,,,,,
785,860,1,22,,,,,,
786,1040,1,7,,,,,,
787,1040,1,7,,,,,,
788,700,-3,5,,,,,,
789,1240,-3,1,,,,,,
790,1230,-1,3,,,,,,
791,1170,,,,,,,,
792,1500,-2,3,,,,,,
793,1290,,-12,,,,,,
794,1040,1,7,,,,,,
795,710,4,21,,,,,,
796,510,29,32,,,,,,
797,470,-30,33,,,,,,
798,610,8,-5,,,,,,
799,760,,2,,,,,,
800,750,1,6,,,,,,
801,750,1,6,,,,,,
802,750,1,6,,,,,,
803,750,1,6,,,,,,
804,750,1,6,,,,,,
805,750,1,6,,,,,,
806,720,8,11,,,,,,
807,720,8,11,,,,,,
808,720,8,11,,,,,,
809,720,8,11,,,,,,
810,720,8,11,,,,,,
811,720,8,11,,,,,,
812,720,8,11,,,,,,
813,720,8,11,,,,,,
814,720,8,11,,,,,,
815,720,8,11,,,,,,
816,720,8,11,,,,,,
817,720,8,11,,,,,,
818,720,8,11,,,,,,
819,720,5,,,,,,,
820,720,5,,,,,,,
821,720,5,,,,,,,
822,720,5,,,,,,,
823,720,5,,,,,,,
824,720,5,,,,,,,
825,1470,-2,63,,,,,,
826,1470,-2,63,,,,,,
827,1470,-2,63,,,,,,
828,1470,-2,63,,,,,,
829,1470,-2,63,,,,,,
830,1470,-2,63,,,,,,
831,1470,-2,63,,,,,,
832,1470,-2,63,,,,,,
833,1470,-2,63,,,,,,
834,1470,-2,63,,,,,,
835,1470,-2,63,,,,,,
836,1470,-2,63,,,,,,
837,984,2,1,,,,,,
839,1820,2,15,,,,,,
841,1200,7,2,,,,,,
843,1200,7,2,,,,,,
845,1820,2,15,,,,,,
847,1820,2,15,,,,,,
849,1200,7,2,,,,,,
851,1820,2,15,,,,,,
853,1200,7,2,,,,,,
855,1820,2,15,,,,,,
857,1200,7,2,,,,,,
859,1820,2,15,,,,,,
861,1200,7,2,,,,,,
863,1080,-1,-26,,,,,,
864,1080,-1,-26,,,,,,
865,1080,-1,-26,,,,,,
866,1080,-1,-26,,,,,,
867,1080,-1,-26,,,,,,
868,1080,-1,-26,,,,,,
869,1080,-1,-26,,,,,,
870,1080,-1,-26,,,,,,
871,1080,-1,-26,,,,,,
872,1080,-1,-26,,,,,,
873,1080,-1,-26,,,,,,
874,1080,-1,-26,,,,,,
875,1080,-1,-26,,,,,,
876,1080,-1,-26,,,,,,
877,720,3,5,,,,,,2:3807|3:3808|4:3809|5:3810
878,720,3,5,,,,,,2:3811|3:3812|4:3813|5:3814
879,720,3,5,,,,,,2:3815|3:3816|4:3817|5:3818
880,720,3,5,,,,,,2:3819|3:3820|4:3821|5:3822
881,640,-1,-42,,,,,,2:3823|3:3824|4:3825|5:3826
882,1220,6,-29,,,,,,2:896|3:895|4:894|5:897
883,1220,6,-29,,,,,,2:900|3:899|4:898|5:901
884,1220,6,-29,,,,,,2:904|3:903|4:902|5:905
885,1220,6,-29,,,,,,2:908|3:907|4:906|5:909
886,1220,6,-29,,,,,,2:912|3:911|4:910|5:913
887,1220,6,-29,,,,,,2:916|3:915|4:914|5:917
888,1220,6,-29,,,,,,2:920|3:919|4:918|5:921
889,1220,6,-29,,,,,,2:924|3:923|4:922|5:925
890,1220,6,-29,,,,,,2:928|3:927|4:926|5:929
891,1220,6,-29,,,,,,2:932|3:931|4:930|5:933
892,1220,6,-29,,,,,,2:936|3:935|4:934|5:937
893,1220,6,-29,,,,,,2:940|3:939|4:938|5:941
894,1220,6,-29,,,,,,
895,1220,6,-29,,,,,,
896,1220,6,-29,,,,,,
897,1220,6,-29,,,,,,
898,1220,6,-29,,,,,,
899,1220,6,-29,,,,,,
900,1220,6,-29,,,,,,
901,1220,6,-29,,,,,,
902,1220,6,-29,,,,,,
903,1220,6,-29,,,,,,
904,1220,6,-29,,,,,,
905,1220,6,-29,,,,,,
906,1220,6,-29,,,,,,
907,1220,6,-29,,,,,,
908,1220,6,-29,,,,,,
909,1220,6,-29,,,,,,
910,1220,6,-29,,,,,,
911,1220,6,-29,,,,,,
912,1220,6,-29,,,,,,
913,1220,6,-29,,,,,,
914,1220,6,-29,,,,,,
915,1220,6,-29,,,,,,
916,1220,6,-29,,,,,,
917,1220,6,-29,,,,,,
918,1220,6,-29,,,,,,
919,1220,6,-29,,,,,,
920,1220,6,-29,,,,,,
921,1220,6,-29,,,,,,
922,1220,6,-29,,,,,,
923,1220,6,-29,,,,,,
924,1220,6,-29,,,,,,
925,1220,6,-29,,,,,,
926,1220,6,-29,,,,,,
927,1220,6,-29,,,,,,
928,1220,6,-29,,,,,,
929,1220,6,-29,,,,,,
930,1220,6,-29,,,,,,
931,1220,6,-29,,,,,,
932,1220,6,-29,,,,,,
933,1220,6,-29,,,,,,
934,1220,6,-29,,,,,,
935,1220,6,-29,,,,,,
936,1220,6,-29,,,,,,
937,1220,6,-29,,,,,,
938,1220,6,-29,,,,,,
939,1220,6,-29,,,,,,
940,1220,6,-29,,,,,,
941,1220,6,-29,,,,,,
942,1750,1,1,,,,,,2:2546|3:2547|4:2548|5:2549
943,1010,,,,,,,,
945,1810,,40,,,,,,
946,580,-11,-4,,,,,,
948,1290,-2,5,,,,,,
950,1360,,-15,,,,,,
952,1860,,,,,,,,
954,1240,-2,-30,,,,,,
956,1040,1,7,,,,,,
958,1350,2,,,,,,,
960,,,18,,,,,,
962,630,-3,40,,,,,,
964,530,-1,-10,,,,,,
965,530,-1,-10,,,,,,
966,870,-2,7,,,,,,
968,820,-5,-16,,,,,,
970,940,,,,,,,,
972,940,,,,,,,,
973,650,,26,,,,,,
975,770,-2,-12,,,,,,
977,2050,,,,,,,,
979,290,3,,,,,,,
980,1400,1,15,,,,,,
981,880,,2,,,,,,
983,700,-3,5,,,,,,
985,740,-7,1,,,,,,
987,750,2,66,,,,,,
989,700,-3,5,,,,,,
991,700,-3,5,,,,,,
993,700,-3,5,,,,,,
995,710,3,,,,,,,2:996|3:997|4:998|5:999|25:1000|100:1001|250:1002|1000:1003|10000:1004
996,710,3,,,,,,,
997,710,3,,,,,,,
998,710,3,,,,,,,
999,710,3,,,,,,,
1000,710,3,,,,,,,
1001,710,3,,,,,,,
1002,650,2,-2,,,,,,
1003,980,11,13,,,,,,
1004,1000,11,,,,,,,
1005,1580,-4,-4,,,,,,
1007,2140,3,6,,,,,,
1009,465,7,66,,,,,,
1011,1940,,1,,,,,,
1013,1940,,1,,,,,,
1015,1940,,1,,,,,,
1017,800,5,-10,,,,,,
1019,2140,3,6,,,,,,
1021,2140,3,6,,,,,,
1023,2140,3,6,,,,,,
1025,800,,,,,,,,
1027,2140,3,6,,,,,,
1029,2140,3,6,,,,,,
1031,2140,3,6,,,,,,
1033,1940,,1,,,,,,
1035,1370,,7,,,,,,
1037,550,,,,,,,,
1038,440,1,1,,,,,,
1040,440,1,1,,,,,,
1042,440,1,1,,,,,,
1044,440,1,1,,,,,,
1046,440,1,1,,,,,,
1048,440,1,1,,,,,,
1050,540,,-3,,,,,,
1052,1370,,,,,,,,
1053,730,,-10,,,,,,
1055,730,,-10,,,,,,
1057,730,,-10,,,,,,
1059,930,8,-8,,,,,,
1061,770,1,-6,,,,,,
1063,740,7,-33,,,,,,
1065,740,7,-33,,,,,,
1067,1740,,-8,,,,,,
1069,1740,,-8,,,,,,
1071,1740,,-8,,,,,,
1073,1740,,-8,,,,,,
1075,1740,,-8,,,,,,
1077,1740,,-8,,,,,,
1079,1740,,-8,,,,,,
1081,1100,5,5,,,,,,
1083,1100,5,5,,,,,,
1085,1100,5,5,,,,,,
1087,1100,5,5,,,,,,
1089,1100,5,5,,,,,,
1091,1100,5,5,,,,,,
1093,1100,5,5,,,,,,
1095,1720,7,5,,,,,,
1097,1720,7,5,,,,,,
1099,1720,7,5,,,,,,
1101,1100,,2,,,,,,
1103,1100,,2,,,,,,
1105,1100,,,,,,,,
1107,1100,,,,,,,,
1109,1100,,2,,,,,,
1111,1100,,2,,,,,,
1113,1100,,2,,,,,,
1115,1250,-1,,,,,,,
1117,1250,-1,,,,,,,
1119,1250,-1,,,,,,,
1121,1250,-1,,,,,,,
1123,1250,-1,,,,,,,
1125,1250,-1,,,,,,,
1127,1250,-1,,,,,,,
1129,750,,2,,,,,,
1131,920,,,,,,,,
1133,910,,,,,,,,
1135,1030,,-4,,,,,,
1137,640,1,-4,,,,,,
1139,640,1,-4,,,,,,
1141,640,1,-4,,,,,,
1143,640,1,-4,,,,,,
1145,640,1,-4,,,,,,
1147,640,1,-4,,,,,,
1149,670,3,-5,,,,,,
1151,640,1,-4,,,,,,
1153,800,-1,6,,,,,,
1155,800,-1,6,,,,,,
1157,800,-1,6,,,,,,
1159,800,-1,6,,,,,,
1161,800,-1,6,,,,,,
1163,800,-1,6,,,,,,
1165,800,-1,6,,,,,,
1167,610,3,-5,,,,,,
1169,610,3,-5,,,,,,
1171,1390,3,40,,,,,,
1173,1410,2,174,,,,,,
1175,1410,2,174,,,,,,
1177,1410,2,174,,,,,,
1179,1410,2,174,,,,,,
1181,1410,2,174,,,,,,
1183,1410,2,174,,,,,,
1185,1410,2,174,,,,,,
1187,1730,1,10,,,,,,
1189,1560,-6,-14,,,,,,
1191,1560,-6,-14,,,,,,
1193,1560,-6,-14,,,,,,
1195,1560,-6,-14,,,,,,
1197,1560,-6,-14,,,,,,
1199,1560,-6,-14,,,,,,
1201,1560,-6,-14,,,,,,
1203,760,,-4,,,,,,
1205,760,,-4,,,,,,
1207,760,,-4,,,,,,
1209,760,,-4,,,,,,
1211,760,,-4,,,,,,
1213,760,,-4,,,,,,
1215,760,,-4,,,,,,
1217,760,,-4,,,,,,
1219,760,,-4,,,,,,
1221,760,,-4,,,,,,
1223,760,,-4,,,,,,
1225,760,,-4,,,,,,
1227,760,,-4,,,,,,
1229,760,,-4,,,,,,
1231,760,,-4,,,,,,
1233,760,,-4,,,,,,
1235,760,,-4,,,,,,
1237,1490,7,-4,,,,,,
1239,1490,7,-4,,,,,,
1241,1490,7,-4,,,,,,
1243,1490,7,-4,,,,,,
1245,1490,7,-4,,,,,,
1247,1490,7,-4,,,,,,
1249,1490,7,-4,,,,,,
1251,1490,7,-4,,,,,,
1253,1490,7,-4,,,,,,
1255,1490,7,-4,,,,,,
1257,1490,7,-4,,,,,,
1259,1490,7,-4,,,,,,
1261,1490,7,-4,,,,,,
1263,1490,7,-4,,,,,,
1265,1070,-2,-19,,,,,,
1267,1070,-2,-19,,,,,,
1269,1070,-2,-19,,,,,,
1271,1070,-2,-19,,,,,,
1273,1070,-2,-19,,,,,,
1275,1070,-2,-19,,,,,,
1277,1040,,-3,,,,,,
1279,1040,,-3,,,,,,
1281,1040,,-3,,,,,,
1283,1040,,-3,,,,,,
1285,1040,,-3,,,,,,
1287,1040,,-3,,,,,,
1289,1040,,-3,,,,,,
1291,860,-13,-2,,,,,,
1293,860,-13,-2,,,,,,
1295,860,-13,-2,,,,,,
1297,860,-13,-2,,,,,,
1299,860,-13,-2,,,,,,
1301,860,-13,-2,,,,,,
1303,860,-13,-2,,,,,,
1305,1570,,-5,,,,,,
1307,1380,3,-9,,,,,,
1309,1380,3,-9,,,,,,
1311,1380,3,-9,,,,,,
1313,1380,3,-9,,,,,,
1315,1380,3,-9,,,,,,
1317,1380,3,-9,,,,,,
1319,1380,3,-9,,,,,,
1321,1180,-6,4,,,,,,
1323,1180,-6,4,,,,,,
1325,1180,-6,4,,,,,,
1327,1180,-6,4,,,,,,
1329,1180,-6,4,,,,,,
1331,1180,-6,4,,,,,,
1333,1180,-6,4,,,,,,
1335,1050,3,3,,,,,,
1337,1050,3,3,,,,,,
1339,1050,3,3,,,,,,
1341,1050,3,3,,,,,,
1343,1050,3,3,,,,,,
1345,1050,3,3,,,,,,
1347,1050,3,3,,,,,,
1349,1060,-15,,,,,,,
1351,1060,-15,,,,,,,
1353,1060,-15,,,,,,,
1355,1060,-15,,,,,,,
1357,1060,-15,,,,,,,
1359,1060,-15,,,,,,,
1361,1060,-15,,,,,,,
1363,1180,-7,-2,,,,,,
1365,1180,-7,-2,,,,,,
1367,1180,-7,-2,,,,,,
1369,1180,-7,-2,,,,,,
1371,1180,-7,-2,,,,,,
1373,1180,-7,-2,,,,,,
